,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
253,"""Dont even bother!""",I worked at HP Inc. full-time for more than 10 years,"There are no Pros here, many have left and will continue.","everything about this company is horrible
pay, culture, people.

They mistreat their employees, managers from every division.",1.0,1.0,1.0,1.0,1.0
254,"""lots of change""",I worked at HP Inc. full-time for more than 3 years,new focus and better direction,"lots of change 
product development has lost innovation",2.0,5.0,4.0,4.0,5.0
255,"""QA Automation Engineer""",I have been working at HP Inc. full-time,"Good company to work for, flexible working hours",no cons for this company so far,5.0,5.0,4.0,3.0,4.0
256,"""Great Company""",I have been working at HP Inc. full-time for more than a year,"Innovative and exciting products,  never boring and plenty of opportunities.","Needs more diversity,  lack of African American workers.",,,,,
257,"""Supply Chain Strategy and Development Manager""",I worked at HP Inc. full-time for more than 8 years,One of the best companies I have worked for and fortunate to have come across great managers. They are friendly and give you opportunity to grow and develop your career.  Open door policy.,Slow at adapting to market and technology changes.,4.0,5.0,5.0,3.0,5.0
258,"""Sr Program Manager""",I have been working at HP Inc. full-time for more than 3 years,"Innovation, Product Development, Great Products",Not much career growth to senior management levels,3.0,5.0,2.0,3.0,4.0
259,"""HP puts profits above customer satisfaction""",I worked at HP Inc. full-time for more than 3 years,I cannot think of anything.,HP printers don't work if they erroneously sense that you aren't using HP cartridges.  Even when you are using HP cartridges.  Customers are mad.,3.0,1.0,3.0,3.0,1.0
260,"""TSA""",I have been working at HP Inc. full-time,"Friendly env, good tech, product","no strategy, low tech, etc",,,,,
261,"""Glorious past, difficult future""",I worked at HP Inc. full-time,"Nice colleagues, old heritage, great brand.","Bureocratic company, difficult times, poor management",,,,,
262,"""Used to be a great place to work""",I worked at HP Inc.  for more than 10 years,company culture used to be phenomenal back in the 80-90's,Not sure how the working environment is today,,,,,
263,"""Keep up the work and try to improve""",I worked at HP Inc. full-time for more than 10 years,"Good company to work, feasibility","No up-skill training, micromanagement in few teams, internal politics for promotions",5.0,5.0,4.0,2.0,2.0
264,"""Great Company though has drifted from the ""HP Way""""",I worked at HP Inc. full-time,"Amazingly talented and smart people
Flexible hours
Integrity is demanded and expressed
Very active employees in all aspects of life - work, volunteering, service","Wish they hired and promoted more from within
Unwilling to realize that some execs are not good and are not accountable.",4.0,5.0,3.0,4.0,3.0
265,"""Hand Waving Middle Management""",I worked at HP Inc. full-time,A good company name to have on your profile,"-lack of movement, mid to senior level managers don't ever move making it tough for  up and coming people to get into leadership roles.
-A lot of review cycles - I wonder how much we could have actually gotten done if it wasn't for a series of endless reviews that teams go through before a decision is made
- Open door policy is not adhered to here",2.0,2.0,2.0,4.0,1.0
266,"""Review""",I have been working at HP Inc. full-time,The company has an exciting future.,Inconsistent manager expectations. No flexibility; no work-life balance,1.0,2.0,2.0,4.0,2.0
267,"""HP Ageism""",I worked at HP Inc. full-time for more than 3 years,"#1 in PCs, genius engineers","Ever shifting management (4 shifts in 4 years), only want young female workers, Ageist",2.0,2.0,2.0,3.0,1.0
268,"""Technology Consultant""",I worked at HP Inc. full-time,"Good pay, good benefits, good coworkers.","Internal systems were pretty bad.  Trying to get IT to develop anything, or allow anyone outside IT to develop anything for production just did not happen.  Software creativity was stifled if you weren't in IT.",2.0,3.0,4.0,4.0,2.0
269,"""Good at design and business, but increasingly political""",I have been working at HP Inc. full-time for more than 10 years,"Best PC designs in the history of the company and its antecedents. 3D printing is the future of manufacturing, and HP is a significant player.","Increasingly political, internally and externally. Following Google, Facebook, Twitter, and other Silicon Valley companies down the road of enforcing among employees a culture of conformity to liberal politics. In the short term, this will harm dissenting employees. In the long term, this will lead to conflicts between the business and orthodoxy.",4.0,2.0,4.0,3.0,3.0
